historical_complaint_id,original_text,language,normalized_text_en,category,subcategory,city,ward,created_at,resolved_at,priority_label,actual_resolution_days,resolved_by_officer_id,resolution_summary,similarity_group_id,citizen_feedback_score
H0023,"Transport complaint: illegal parking near bus stand in Ward-12, Bhubaneswar.",en,"Transport complaint: illegal parking near bus stand in Ward-12, Bhubaneswar.",transport,illegal parking,Bhubaneswar,Ward-12,2025-09-14 05:08:00,2025-09-15 15:08:00,high,1,O015,Parking enforcement team dispatched (high priority case),SIM_TRANSPORT_04,3.7
H0024,"Citizens reported bus stop damage in Ward-12, Bhubaneswar.",en,"Citizens reported bus stop damage in Ward-12, Bhubaneswar.",transport,bus stop damage,Bhubaneswar,Ward-12,2025-12-06 05:06:00,2025-12-09 17:06:00,medium,3,O015,Parking enforcement team dispatched (medium priority case),SIM_TRANSPORT_02,3.2
H0025,"Complaint filed for sewer overflow in Ward-09, Cuttack since 1 week.",en,"Complaint filed for sewer overflow in Ward-09, Cuttack since 1 week.",drainage,sewer overflow,Cuttack,Ward-09,2025-10-04 08:42:00,2025-10-08 12:42:00,low,4,O026,Manhole cover replaced (low priority case),SIM_DRAINAGE_03,4.9
H0026,"stagnant water observed in Ward-01, Bhubaneswar.",en,"stagnant water observed in Ward-01, Bhubaneswar.",health,stagnant water,Bhubaneswar,Ward-01,2025-08-29 00:25:00,2025-08-30 10:25:00,high,1,O013,Waste dumping site cleaned (high priority case),SIM_HEALTH_02,4.0
H0027,"Need urgent repair for damaged footpath in Ward-18, Puri.",en,"Need urgent repair for damaged footpath in Ward-18, Puri.",roads,damaged footpath,Puri,Ward-18,2025-10-15 10:07:00,2025-10-23 18:07:00,medium,8,O040,Divider repaired and marked (medium priority case),SIM_ROADS_04,4.8
H0028,"dead animal pickup in Ward-10, Puri for the last 3 days.",en,"dead animal pickup in Ward-10, Puri for the last 3 days.",sanitation,dead animal pickup,Puri,Ward-10,2025-12-09 15:33:00,2025-12-13 23:33:00,medium,4,O037,Bin cleared and collection schedule updated (medium priority case),SIM_SANITATION_03,3.9
H0029,"Complaint about overflowing bin near apartment block in Ward-01, Bhubaneswar.",en,"Complaint about overflowing bin near apartment block in Ward-01, Bhubaneswar.",sanitation,overflowing bin,Bhubaneswar,Ward-01,2025-12-28 10:22:00,2025-12-29 19:22:00,high,1,O006,Bin cleared and collection schedule updated (high priority case),SIM_SANITATION_02,4.1
H0030,"Please address overflowing bin in Ward-12, Bhubaneswar.",en,"Please address overflowing bin in Ward-12, Bhubaneswar.",sanitation,overflowing bin,Bhubaneswar,Ward-12,2025-12-04 13:47:00,2025-12-07 00:47:00,medium,2,O005,Sanitation team dispatched (medium priority case),SIM_SANITATION_02,4.6
H0031,"Ward-19, Bhubaneswar में खुला इलेक्ट्रिक बॉक्स से खतरा है।",hi,"open electric box creating danger in Ward-19, Bhubaneswar.",public_safety,open electric box,Bhubaneswar,Ward-19,2025-11-17 17:40:00,2025-11-19 00:40:00,high,1,O011,Temporary barricading installed (high priority case),SIM_PUBLIC_SAFETY_02,4.9
H0032,"Need urgent repair for pothole in Ward-11, Sambalpur.",en,"Need urgent repair for pothole in Ward-11, Sambalpur.",roads,pothole,Sambalpur,Ward-11,2025-10-20 05:20:00,2025-10-27 09:20:00,medium,7,O056,Work order raised for full resurfacing (medium priority case),SIM_ROADS_01,3.0
H0033,"blocked drain near Ward-06, Puri after rain.",en,"blocked drain near Ward-06, Puri after rain.",drainage,blocked drain,Puri,Ward-06,2025-12-17 02:15:00,2025-12-18 14:15:00,high,1,O042,Manhole cover replaced (high priority case),SIM_DRAINAGE_01,3.8
H0034,"Need urgent repair for pothole in Ward-14, Cuttack.",en,"Need urgent repair for pothole in Ward-14, Cuttack.",roads,pothole,Cuttack,Ward-14,2025-12-03 06:47:00,2025-12-06 00:47:00,high,2,O024,Temporary patch work completed (high priority case),SIM_ROADS_01,3.4
H0035,Cuttack के Ward-14 में नाली जाम हो रहा है।,hi,"blocked drain near Ward-14, Cuttack after rain.",drainage,blocked drain,Cuttack,Ward-14,2025-10-20 18:14:00,2025-10-27 08:14:00,medium,6,O025,Drain cleaned and flow restored (medium priority case),SIM_DRAINAGE_01,4.1
H0036,"Please address dead animal pickup in Ward-04, Sambalpur.",en,"Please address dead animal pickup in Ward-04, Sambalpur.",sanitation,dead animal pickup,Sambalpur,Ward-04,2025-10-13 01:37:00,2025-10-15 06:37:00,medium,2,O054,Sanitation team dispatched (medium priority case),SIM_SANITATION_03,4.7
H0037,"Complaint filed for blocked drain in Ward-07, Sambalpur since 1 week.",en,"Complaint filed for blocked drain in Ward-07, Sambalpur since 1 week.",drainage,blocked drain,Sambalpur,Ward-07,2025-12-27 17:54:00,2025-12-31 08:54:00,medium,3,O058,Waterlogging cleared with suction pump (medium priority case),SIM_DRAINAGE_01,3.8
H0038,Bhubaneswar के Ward-08 में सीवर ओवरफ्लो हो रहा है।,hi,"sewer overflow near Ward-08, Bhubaneswar after rain.",drainage,sewer overflow,Bhubaneswar,Ward-08,2025-08-15 13:00:00,2025-08-17 16:00:00,high,2,O010,Drain cleaned and flow restored (high priority case),SIM_DRAINAGE_03,4.2
H0039,"Ward-14, Cuttack ରେ ମଶା ବଢ଼ୁଛି ଅଭିଯୋଗ ଅଛି।",or,"mosquito breeding observed in Ward-14, Cuttack.",health,mosquito breeding,Cuttack,Ward-14,2025-08-19 18:37:00,2025-08-23 21:37:00,medium,4,O030,Vector control team sprayed area (medium priority case),SIM_HEALTH_01,4.9
H0040,"Public safety complaint: unsafe construction debris in Ward-27, Cuttack.",en,"Public safety complaint: unsafe construction debris in Ward-27, Cuttack.",public_safety,unsafe construction debris,Cuttack,Ward-27,2025-12-24 19:29:00,2025-12-29 13:29:00,medium,4,O028,Hazard removed and area secured (medium priority case),SIM_PUBLIC_SAFETY_04,4.9
H0041,"no water supply has affected houses around Ward-07, Sambalpur.",en,"no water supply has affected houses around Ward-07, Sambalpur.",water,no water supply,Sambalpur,Ward-07,2025-12-16 05:01:00,2025-12-21 19:01:00,low,5,O049,Valve adjusted and water supply restored (low priority case),SIM_WATER_02,4.6
H0042,"Public safety complaint: stray dog issue in Ward-06, Puri.",en,"Public safety complaint: stray dog issue in Ward-06, Puri.",public_safety,stray dog issue,Puri,Ward-06,2025-12-10 22:55:00,2025-12-12 15:55:00,high,1,O044,Emergency crew resolved unsafe condition (high priority case),SIM_PUBLIC_SAFETY_03,4.5
H0043,"Please address garbage not collected in Ward-15, Puri.",en,"Please address garbage not collected in Ward-15, Puri.",sanitation,garbage not collected,Puri,Ward-15,2025-08-18 15:58:00,2025-08-21 17:58:00,medium,3,O037,Bin cleared and collection schedule updated (medium priority case),SIM_SANITATION_01,3.6
H0044,"Complaint about overflowing bin near apartment block in Ward-16, Sambalpur.",en,"Complaint about overflowing bin near apartment block in Ward-16, Sambalpur.",sanitation,overflowing bin,Sambalpur,Ward-16,2025-12-08 04:10:00,2025-12-11 09:10:00,medium,3,O054,Garbage removed and area cleaned (medium priority case),SIM_SANITATION_02,3.2
H0045,"People are suffering due to waterlogging in Ward-18, Puri.",en,"People are suffering due to waterlogging in Ward-18, Puri.",drainage,waterlogging,Puri,Ward-18,2025-11-11 10:58:00,2025-11-12 22:58:00,medium,1,O041,Drain cleaned and flow restored (medium priority case),SIM_DRAINAGE_02,4.4
H0046,"smoke nuisance observed in Ward-06, Puri.",en,"smoke nuisance observed in Ward-06, Puri.",health,smoke nuisance,Puri,Ward-06,2025-09-08 17:28:00,2025-09-11 18:28:00,low,3,O046,Waste dumping site cleaned (low priority case),SIM_HEALTH_04,3.3
H0047,"Ward-15, Puri में पानी की सप्लाई बंद की समस्या है।",hi,There is no water supply near Ward-15 in Puri since 5 hours.,water,no water supply,Puri,Ward-15,2025-11-19 22:51:00,2025-11-22 04:51:00,high,2,O033,Leak isolated and repaired (high priority case),SIM_WATER_02,3.6
H0048,गलत पार्किंग के कारण यातायात प्रभावित है।,hi,"illegal parking at junction in Ward-12, Bhubaneswar.",transport,illegal parking,Bhubaneswar,Ward-12,2025-10-28 21:37:00,2025-11-04 09:37:00,low,6,O015,Parking enforcement team dispatched (low priority case),SIM_TRANSPORT_04,3.5
H0049,"Complaint filed for sewer overflow in Ward-15, Puri since 5 hours.",en,"Complaint filed for sewer overflow in Ward-15, Puri since 5 hours.",drainage,sewer overflow,Puri,Ward-15,2025-08-24 07:20:00,2025-08-25 14:20:00,high,1,O042,Manhole cover replaced (high priority case),SIM_DRAINAGE_03,3.3
H0050,ଖୋଲା ବିଦ୍ୟୁତ ବକ୍ସ ପାଇଁ ତୁରନ୍ତ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଦରକାର।,or,"open electric box creating danger in Ward-04, Sambalpur.",public_safety,open electric box,Sambalpur,Ward-04,2025-12-22 03:03:00,2025-12-24 17:03:00,medium,2,O059,Emergency crew resolved unsafe condition (medium priority case),SIM_PUBLIC_SAFETY_02,4.2
H0051,"Ward-01, Bhubaneswar में गंदा सार्वजनिक शौचालय की समस्या बनी हुई है।",hi,"unclean public toilet in Ward-01, Bhubaneswar for the last 1 week.",sanitation,unclean public toilet,Bhubaneswar,Ward-01,2025-12-27 10:45:00,2025-12-29 14:45:00,high,2,O006,Sanitation team dispatched (high priority case),SIM_SANITATION_04,3.7
H0052,"Complaint filed for manhole cover broken in Ward-02, Puri since 1 week.",en,"Complaint filed for manhole cover broken in Ward-02, Puri since 1 week.",drainage,manhole cover broken,Puri,Ward-02,2025-10-17 12:19:00,2025-10-22 05:19:00,medium,4,O041,Manhole cover replaced (medium priority case),SIM_DRAINAGE_04,3.6
H0053,"Health-related complaint about illegal dumping in Ward-09, Cuttack.",en,"Health-related complaint about illegal dumping in Ward-09, Cuttack.",health,illegal dumping,Cuttack,Ward-09,2025-08-13 11:39:00,2025-08-15 13:39:00,high,2,O030,Stagnant water removed (high priority case),SIM_HEALTH_03,4.5
H0054,"road damage on main road of Ward-27, Cuttack.",en,"road damage on main road of Ward-27, Cuttack.",roads,road damage,Cuttack,Ward-27,2025-08-21 18:21:00,2025-08-30 20:21:00,medium,9,O024,Work order raised for full resurfacing (medium priority case),SIM_ROADS_02,4.1
H0055,"There is smoke nuisance near residential area in Ward-16, Sambalpur.",en,"There is smoke nuisance near residential area in Ward-16, Sambalpur.",health,smoke nuisance,Sambalpur,Ward-16,2025-10-13 19:56:00,2025-10-15 03:56:00,high,1,O062,Vector control team sprayed area (high priority case),SIM_HEALTH_04,3.4
H0056,"Ward-07, Sambalpur में टूटा डिवाइडर की मरम्मत चाहिए।",hi,"broken divider on main road of Ward-07, Sambalpur.",roads,broken divider,Sambalpur,Ward-07,2025-10-29 18:16:00,2025-10-31 18:16:00,high,2,O056,Divider repaired and marked (high priority case),SIM_ROADS_03,3.1
H0057,"power outage reported in Ward-06, Puri for 2 hours.",en,"power outage reported in Ward-06, Puri for 2 hours.",electricity,power outage,Puri,Ward-06,2025-11-06 07:36:00,2025-11-07 18:36:00,high,1,O036,Line fault repaired and supply restored (high priority case),SIM_ELECTRICITY_01,3.4
H0058,"Complaint about overflowing bin near apartment block in Ward-20, Sambalpur.",en,"Complaint about overflowing bin near apartment block in Ward-20, Sambalpur.",sanitation,overflowing bin,Sambalpur,Ward-20,2025-10-04 05:36:00,2025-10-09 10:36:00,low,5,O053,Sanitation team dispatched (low priority case),SIM_SANITATION_02,4.7
H0059,"Ward-21, Cuttack में कचरा नहीं उठाया गया की समस्या बनी हुई है।",hi,"garbage not collected in Ward-21, Cuttack for the last 2 hours.",sanitation,garbage not collected,Cuttack,Ward-21,2025-08-19 18:22:00,2025-08-23 23:22:00,low,4,O021,Garbage removed and area cleaned (low priority case),SIM_SANITATION_01,4.0
H0060,"unsafe construction debris creating danger in Ward-21, Cuttack.",en,"unsafe construction debris creating danger in Ward-21, Cuttack.",public_safety,unsafe construction debris,Cuttack,Ward-21,2025-09-12 09:23:00,2025-09-15 13:23:00,medium,3,O027,Emergency crew resolved unsafe condition (medium priority case),SIM_PUBLIC_SAFETY_04,3.4
H0061,"Residents in Ward-11, Sambalpur are facing pipeline leakage for 1 week.",en,"Residents in Ward-11, Sambalpur are facing pipeline leakage for 1 week.",water,pipeline leakage,Sambalpur,Ward-11,2025-09-25 01:58:00,2025-09-27 17:58:00,medium,2,O049,Contamination source flushed (medium priority case),SIM_WATER_01,4.4
H0062,"Citizens reported broken divider near school in Ward-11, Sambalpur.",en,"Citizens reported broken divider near school in Ward-11, Sambalpur.",roads,broken divider,Sambalpur,Ward-11,2025-10-13 03:25:00,2025-10-24 16:25:00,low,11,O056,Temporary patch work completed (low priority case),SIM_ROADS_03,4.0
H0063,Ward-11 क्षेत्र में चिंगारी वाली तार पिछले 2 दिन से है।,hi,"sparking wire reported in Ward-11, Sambalpur for 2 days.",electricity,sparking wire,Sambalpur,Ward-11,2025-08-08 11:12:00,2025-08-09 13:12:00,high,1,O052,Transformer maintenance completed (high priority case),SIM_ELECTRICITY_04,4.5
H0064,"Public safety complaint: fallen tree in Ward-03, Cuttack.",en,"Public safety complaint: fallen tree in Ward-03, Cuttack.",public_safety,fallen tree,Cuttack,Ward-03,2025-11-26 03:55:00,2025-11-27 16:55:00,high,1,O028,Temporary barricading installed (high priority case),SIM_PUBLIC_SAFETY_01,4.0
H0065,"Immediate action needed for open electric box near Ward-03, Cuttack.",en,"Immediate action needed for open electric box near Ward-03, Cuttack.",public_safety,open electric box,Cuttack,Ward-03,2025-08-13 19:45:00,2025-08-19 01:45:00,low,5,O027,Hazard removed and area secured (low priority case),SIM_PUBLIC_SAFETY_02,4.1
H0066,Ward-12 इलाके में पानी की सप्लाई बंद पिछले 2 घंटे से है।,hi,There is no water supply near Ward-12 in Bhubaneswar since 2 hours.,water,no water supply,Bhubaneswar,Ward-12,2025-12-21 06:21:00,2025-12-25 11:21:00,low,4,O001,Leak isolated and repaired (low priority case),SIM_WATER_02,3.7
H0067,"Ward-07, Sambalpur में पानी की सप्लाई बंद की समस्या है।",hi,There is no water supply near Ward-07 in Sambalpur since 5 hours.,water,no water supply,Sambalpur,Ward-07,2025-11-25 11:36:00,2025-11-30 20:36:00,medium,5,O050,Contamination source flushed (medium priority case),SIM_WATER_02,4.5
H0068,"Health-related complaint about smoke nuisance in Ward-02, Puri.",en,"Health-related complaint about smoke nuisance in Ward-02, Puri.",health,smoke nuisance,Puri,Ward-02,2025-09-13 15:38:00,2025-09-15 15:38:00,high,2,O045,Waste dumping site cleaned (high priority case),SIM_HEALTH_04,3.8
H0069,कचरा नहीं उठाया गया के कारण Ward-07 क्षेत्र में परेशानी है।,hi,"garbage not collected in Ward-07, Sambalpur for the last 2 hours.",sanitation,garbage not collected,Sambalpur,Ward-07,2025-09-26 05:10:00,2025-09-27 13:10:00,high,1,O054,Bin cleared and collection schedule updated (high priority case),SIM_SANITATION_01,4.1
H0070,"blocked drain near Ward-02, Puri after rain.",en,"blocked drain near Ward-02, Puri after rain.",drainage,blocked drain,Puri,Ward-02,2025-08-07 11:30:00,2025-08-12 02:30:00,low,4,O042,Drain cleaned and flow restored (low priority case),SIM_DRAINAGE_01,3.5
H0071,"Please address garbage not collected in Ward-04, Sambalpur.",en,"Please address garbage not collected in Ward-04, Sambalpur.",sanitation,garbage not collected,Sambalpur,Ward-04,2025-11-11 06:49:00,2025-11-14 07:49:00,medium,3,O054,Sanitation team dispatched (medium priority case),SIM_SANITATION_01,4.5
H0072,गड्ढा के कारण लोगों को दिक्कत हो रही है।,hi,"pothole on main road of Ward-14, Cuttack.",roads,pothole,Cuttack,Ward-14,2025-09-13 04:58:00,2025-09-25 09:58:00,low,12,O024,Work order raised for full resurfacing (low priority case),SIM_ROADS_01,3.4
H0073,"stagnant water observed in Ward-12, Bhubaneswar.",en,"stagnant water observed in Ward-12, Bhubaneswar.",health,stagnant water,Bhubaneswar,Ward-12,2025-09-03 13:21:00,2025-09-07 03:21:00,high,3,O013,Stagnant water removed (high priority case),SIM_HEALTH_02,3.1
H0074,"Complaint filed for waterlogging in Ward-27, Cuttack since 3 days.",en,"Complaint filed for waterlogging in Ward-27, Cuttack since 3 days.",drainage,waterlogging,Cuttack,Ward-27,2025-11-26 05:04:00,2025-11-30 18:04:00,low,4,O025,Manhole cover replaced (low priority case),SIM_DRAINAGE_02,3.0
H0075,"Immediate action needed for fallen tree near Ward-14, Cuttack.",en,"Immediate action needed for fallen tree near Ward-14, Cuttack.",public_safety,fallen tree,Cuttack,Ward-14,2025-08-01 23:36:00,2025-08-05 00:36:00,medium,3,O027,Temporary barricading installed (medium priority case),SIM_PUBLIC_SAFETY_01,3.2
H0076,"Residents in Ward-27, Cuttack are facing pipeline leakage for 1 week.",en,"Residents in Ward-27, Cuttack are facing pipeline leakage for 1 week.",water,pipeline leakage,Cuttack,Ward-27,2025-11-19 10:24:00,2025-11-26 19:24:00,low,7,O018,Contamination source flushed (low priority case),SIM_WATER_01,3.8
H0077,"Citizens reported road signage missing in Ward-27, Cuttack.",en,"Citizens reported road signage missing in Ward-27, Cuttack.",transport,road signage missing,Cuttack,Ward-27,2025-10-01 20:14:00,2025-10-07 00:14:00,medium,5,O031,Parking enforcement team dispatched (medium priority case),SIM_TRANSPORT_03,4.5
H0078,Ward-07 ଅଞ୍ଚଳରେ ସିୱର ଓଭରଫ୍ଲୋ ସମସ୍ୟା ହେଉଛି।,or,"sewer overflow near Ward-07, Sambalpur after rain.",drainage,sewer overflow,Sambalpur,Ward-07,2025-08-08 15:29:00,2025-08-12 04:29:00,medium,3,O058,Waterlogging cleared with suction pump (medium priority case),SIM_DRAINAGE_03,3.3
H0079,"Citizens reported damaged footpath near school in Ward-15, Puri.",en,"Citizens reported damaged footpath near school in Ward-15, Puri.",roads,damaged footpath,Puri,Ward-15,2025-10-19 11:23:00,2025-10-26 21:23:00,medium,7,O040,Divider repaired and marked (medium priority case),SIM_ROADS_04,3.8
H0080,सड़क खराब के कारण लोगों को दिक्कत हो रही है।,hi,"road damage on main road of Ward-09, Cuttack.",roads,road damage,Cuttack,Ward-09,2025-11-02 22:55:00,2025-11-12 11:55:00,low,9,O024,Divider repaired and marked (low priority case),SIM_ROADS_02,3.6
H0081,"Please address garbage not collected in Ward-16, Sambalpur.",en,"Please address garbage not collected in Ward-16, Sambalpur.",sanitation,garbage not collected,Sambalpur,Ward-16,2025-09-28 00:35:00,2025-09-29 05:35:00,medium,1,O054,Bin cleared and collection schedule updated (medium priority case),SIM_SANITATION_01,4.9
H0082,"Ward-16, Sambalpur में कचरा नहीं उठाया गया की समस्या बनी हुई है।",hi,"garbage not collected in Ward-16, Sambalpur for the last 5 hours.",sanitation,garbage not collected,Sambalpur,Ward-16,2025-12-06 16:43:00,2025-12-10 10:43:00,medium,3,O053,Sanitation team dispatched (medium priority case),SIM_SANITATION_01,3.8
H0083,"Please address dead animal pickup in Ward-21, Cuttack.",en,"Please address dead animal pickup in Ward-21, Cuttack.",sanitation,dead animal pickup,Cuttack,Ward-21,2025-12-09 15:39:00,2025-12-13 07:39:00,low,3,O021,Sanitation team dispatched (low priority case),SIM_SANITATION_03,4.8
H0084,"power outage reported in Ward-01, Bhubaneswar for 2 hours.",en,"power outage reported in Ward-01, Bhubaneswar for 2 hours.",electricity,power outage,Bhubaneswar,Ward-01,2025-10-01 06:12:00,2025-10-03 10:12:00,high,2,O003,Street light circuit replaced (high priority case),SIM_ELECTRICITY_01,4.7
H0085,"unsafe construction debris creating danger in Ward-18, Puri.",en,"unsafe construction debris creating danger in Ward-18, Puri.",public_safety,unsafe construction debris,Puri,Ward-18,2025-11-05 06:10:00,2025-11-07 10:10:00,medium,2,O044,Emergency crew resolved unsafe condition (medium priority case),SIM_PUBLIC_SAFETY_04,3.2
H0086,"Ward-20, Sambalpur में गंदा सार्वजनिक शौचालय की समस्या बनी हुई है।",hi,"unclean public toilet in Ward-20, Sambalpur for the last 1 day.",sanitation,unclean public toilet,Sambalpur,Ward-20,2025-11-22 16:09:00,2025-11-26 06:09:00,low,3,O053,Garbage removed and area cleaned (low priority case),SIM_SANITATION_04,3.3
H0087,"Citizens reported illegal parking in Ward-16, Sambalpur.",en,"Citizens reported illegal parking in Ward-16, Sambalpur.",transport,illegal parking,Sambalpur,Ward-16,2025-11-09 04:36:00,2025-11-14 09:36:00,medium,5,O064,Signal repaired and restarted (medium priority case),SIM_TRANSPORT_04,4.9
