complaint_id,input_type,original_text,language,normalized_text_en,category,subcategory,city,ward,created_at,priority_label,eta_days_label,assigned_officer_id,assigned_department,citizen_sentiment_score,attachments_count,status
C0044,audio,"Complaint about garbage not collected near apartment block in Ward-01, Bhubaneswar.",en,"Complaint about garbage not collected near apartment block in Ward-01, Bhubaneswar.",sanitation,garbage not collected,Bhubaneswar,Ward-01,2026-02-03 11:29:00,high,1,O005,Sanitation,0.94,3,in_progress
C0045,text,धुएँ की परेशानी के कारण स्वास्थ्य जोखिम है।,hi,"smoke nuisance observed in Ward-03, Cuttack.",health,smoke nuisance,Cuttack,Ward-03,2026-01-19 20:28:00,low,4,O030,Public Health,0.87,2,in_progress
C0046,audio,"Residents in Ward-15, Puri are facing low pressure for 2 hours.",en,"Residents in Ward-15, Puri are facing low pressure for 2 hours.",water,low pressure,Puri,Ward-15,2026-02-26 21:13:00,low,3,O034,Water Supply,0.67,2,submitted
C0047,text,"Ward-03, Cuttack में सड़क खराब की मरम्मत चाहिए।",hi,"road damage on main road of Ward-03, Cuttack.",roads,road damage,Cuttack,Ward-03,2026-03-09 15:57:00,low,8,O023,Roads & Works,0.87,1,in_progress
C0048,text,"street light failure reported in Ward-03, Cuttack for 1 day.",en,"street light failure reported in Ward-03, Cuttack for 1 day.",electricity,street light failure,Cuttack,Ward-03,2026-01-28 23:01:00,medium,4,O019,Electrical,0.24,0,in_progress
C0049,text,"Transport complaint: traffic signal not working near bus stand in Ward-11, Sambalpur.",en,"Transport complaint: traffic signal not working near bus stand in Ward-11, Sambalpur.",transport,traffic signal not working,Sambalpur,Ward-11,2026-03-09 04:58:00,high,3,O063,Traffic & Transport,0.44,0,submitted
C0050,text,"mosquito breeding observed in Ward-16, Sambalpur.",en,"mosquito breeding observed in Ward-16, Sambalpur.",health,mosquito breeding,Sambalpur,Ward-16,2026-01-28 19:38:00,low,4,O061,Public Health,0.3,2,submitted
C0051,text,"illegal parking at junction in Ward-18, Puri.",en,"illegal parking at junction in Ward-18, Puri.",transport,illegal parking,Puri,Ward-18,2026-02-08 20:56:00,high,2,O047,Traffic & Transport,0.46,3,in_progress
C0052,text,"There is illegal dumping near residential area in Ward-10, Puri.",en,"There is illegal dumping near residential area in Ward-10, Puri.",health,illegal dumping,Puri,Ward-10,2026-01-08 14:05:00,medium,1,O046,Public Health,0.78,1,in_progress
C0053,text,Ward-15 क्षेत्र में ट्रांसफॉर्मर खराब पिछले 2 दिन से है।,hi,"transformer issue reported in Ward-15, Puri for 2 days.",electricity,transformer issue,Puri,Ward-15,2026-02-21 13:19:00,low,5,O035,Electrical,0.65,3,submitted
C0054,audio,"Public safety complaint: stray dog issue in Ward-19, Bhubaneswar.",en,"Public safety complaint: stray dog issue in Ward-19, Bhubaneswar.",public_safety,stray dog issue,Bhubaneswar,Ward-19,2026-03-12 04:39:00,medium,4,O012,Public Safety,0.7,2,submitted
C0055,video,"sewer overflow near Ward-10, Puri after rain.",en,"sewer overflow near Ward-10, Puri after rain.",drainage,sewer overflow,Puri,Ward-10,2026-02-24 08:01:00,low,3,O042,Drainage,0.61,3,submitted
C0056,text,"People are suffering due to blocked drain in Ward-10, Puri.",en,"People are suffering due to blocked drain in Ward-10, Puri.",drainage,blocked drain,Puri,Ward-10,2026-02-08 03:42:00,high,2,O041,Drainage,0.67,1,in_progress
C0057,audio,"Immediate action needed for fallen tree near Ward-12, Bhubaneswar.",en,"Immediate action needed for fallen tree near Ward-12, Bhubaneswar.",public_safety,fallen tree,Bhubaneswar,Ward-12,2026-01-05 05:14:00,medium,4,O012,Public Safety,0.24,1,in_progress
C0058,text,"Complaint filed for blocked drain in Ward-10, Puri since 2 days.",en,"Complaint filed for blocked drain in Ward-10, Puri since 2 days.",drainage,blocked drain,Puri,Ward-10,2026-03-02 09:14:00,medium,2,O041,Drainage,0.85,1,submitted
C0059,text,"There is smoke nuisance near residential area in Ward-01, Bhubaneswar.",en,"There is smoke nuisance near residential area in Ward-01, Bhubaneswar.",health,smoke nuisance,Bhubaneswar,Ward-01,2026-01-26 00:07:00,medium,5,O014,Public Health,0.95,3,resolved
C0060,text,"Urgent: power outage near market area of Ward-15, Puri.",en,"Urgent: power outage near market area of Ward-15, Puri.",electricity,power outage,Puri,Ward-15,2026-03-16 14:19:00,medium,3,O035,Electrical,0.37,0,in_progress
C0061,text,"Ward-08, Bhubaneswar ରେ ଭଙ୍ଗା ଡିଭାଇଡର୍ ମରାମତି ଦରକାର।",or,"broken divider on main road of Ward-08, Bhubaneswar.",roads,broken divider,Bhubaneswar,Ward-08,2026-01-13 19:16:00,low,6,O007,Roads & Works,0.67,0,submitted
C0062,text,"Ward-20, Sambalpur में गलत पार्किंग की समस्या है।",hi,"illegal parking at junction in Ward-20, Sambalpur.",transport,illegal parking,Sambalpur,Ward-20,2026-01-14 05:28:00,medium,4,O064,Traffic & Transport,0.54,2,in_progress
C0063,audio,"Urgent: sparking wire near market area of Ward-10, Puri.",en,"Urgent: sparking wire near market area of Ward-10, Puri.",electricity,sparking wire,Puri,Ward-10,2026-03-15 07:05:00,high,1,O036,Electrical,0.6,0,submitted
C0064,text,"Public safety complaint: unsafe construction debris in Ward-27, Cuttack.",en,"Public safety complaint: unsafe construction debris in Ward-27, Cuttack.",public_safety,unsafe construction debris,Cuttack,Ward-27,2026-03-13 18:21:00,low,3,O028,Public Safety,0.59,1,in_progress
C0065,text,"Please address dead animal pickup in Ward-11, Sambalpur.",en,"Please address dead animal pickup in Ward-11, Sambalpur.",sanitation,dead animal pickup,Sambalpur,Ward-11,2026-03-09 16:40:00,medium,4,O054,Sanitation,0.25,3,submitted
C0066,text,"Public safety complaint: open electric box in Ward-03, Cuttack.",en,"Public safety complaint: open electric box in Ward-03, Cuttack.",public_safety,open electric box,Cuttack,Ward-03,2026-01-08 13:19:00,low,4,O028,Public Safety,0.7,1,in_progress
C0067,text,"illegal dumping observed in Ward-19, Bhubaneswar.",en,"illegal dumping observed in Ward-19, Bhubaneswar.",health,illegal dumping,Bhubaneswar,Ward-19,2026-03-07 17:31:00,medium,4,O013,Public Health,0.98,2,resolved
C0068,video,"Ward-08, Bhubaneswar में पानी की सप्लाई बंद की समस्या है।",hi,There is no water supply near Ward-08 in Bhubaneswar since 2 days.,water,no water supply,Bhubaneswar,Ward-08,2026-03-11 08:57:00,high,3,O001,Water Supply,0.54,1,resolved
C0069,text,"Citizens reported bus stop damage in Ward-06, Puri.",en,"Citizens reported bus stop damage in Ward-06, Puri.",transport,bus stop damage,Puri,Ward-06,2026-02-28 05:36:00,low,6,O047,Traffic & Transport,0.8,3,resolved
C0070,text,कचरा नहीं उठाया गया के कारण Ward-14 क्षेत्र में परेशानी है।,hi,"garbage not collected in Ward-14, Cuttack for the last 2 days.",sanitation,garbage not collected,Cuttack,Ward-14,2026-03-14 23:07:00,low,5,O021,Sanitation,0.8,1,resolved
C0071,text,"broken divider on main road of Ward-12, Bhubaneswar.",en,"broken divider on main road of Ward-12, Bhubaneswar.",roads,broken divider,Bhubaneswar,Ward-12,2026-01-08 07:23:00,high,2,O008,Roads & Works,0.45,2,in_progress
C0072,text,"Ward-14, Cuttack में गंदा पानी की समस्या है।",hi,There is contaminated water near Ward-14 in Cuttack since 5 hours.,water,contaminated water,Cuttack,Ward-14,2026-02-22 20:00:00,low,6,O018,Water Supply,0.4,5,resolved
C0073,audio,"People in Ward-11, Sambalpur are facing street light failure since 2 hours.",en,"People in Ward-11, Sambalpur are facing street light failure since 2 hours.",electricity,street light failure,Sambalpur,Ward-11,2026-03-13 17:57:00,high,1,O052,Electrical,0.62,1,in_progress
C0074,text,"Health-related complaint about illegal dumping in Ward-02, Puri.",en,"Health-related complaint about illegal dumping in Ward-02, Puri.",health,illegal dumping,Puri,Ward-02,2026-01-07 02:33:00,medium,4,O045,Public Health,0.81,0,submitted
C0075,video,There is low pressure near Ward-16 in Sambalpur since 1 week.,en,There is low pressure near Ward-16 in Sambalpur since 1 week.,water,low pressure,Sambalpur,Ward-16,2026-02-26 09:40:00,high,1,O049,Water Supply,0.65,1,submitted
C0076,text,गंदा सार्वजनिक शौचालय के कारण Ward-15 क्षेत्र में परेशानी है।,hi,"unclean public toilet in Ward-15, Puri for the last 5 hours.",sanitation,unclean public toilet,Puri,Ward-15,2026-02-09 09:02:00,low,5,O037,Sanitation,0.23,0,submitted
C0077,audio,"smoke nuisance observed in Ward-18, Puri.",en,"smoke nuisance observed in Ward-18, Puri.",health,smoke nuisance,Puri,Ward-18,2026-01-31 19:55:00,low,6,O045,Public Health,0.46,2,submitted
C0078,video,"road signage missing at junction in Ward-16, Sambalpur.",en,"road signage missing at junction in Ward-16, Sambalpur.",transport,road signage missing,Sambalpur,Ward-16,2026-01-24 02:51:00,medium,6,O064,Traffic & Transport,0.53,1,in_progress
C0079,video,"Ward-02, Puri में ट्रांसफॉर्मर खराब की शिकायत है।",hi,"transformer issue reported in Ward-02, Puri for 1 day.",electricity,transformer issue,Puri,Ward-02,2026-01-31 07:28:00,high,1,O036,Electrical,0.88,3,submitted
C0080,text,"Urgent: transformer issue near market area of Ward-12, Bhubaneswar.",en,"Urgent: transformer issue near market area of Ward-12, Bhubaneswar.",electricity,transformer issue,Bhubaneswar,Ward-12,2026-03-14 18:38:00,medium,2,O003,Electrical,0.23,2,submitted
C0081,audio,"Complaint about dead animal pickup near apartment block in Ward-12, Bhubaneswar.",en,"Complaint about dead animal pickup near apartment block in Ward-12, Bhubaneswar.",sanitation,dead animal pickup,Bhubaneswar,Ward-12,2026-02-01 15:25:00,low,5,O005,Sanitation,0.42,1,in_progress
C0082,text,"There is mosquito breeding near residential area in Ward-20, Sambalpur.",en,"There is mosquito breeding near residential area in Ward-20, Sambalpur.",health,mosquito breeding,Sambalpur,Ward-20,2026-03-01 13:58:00,medium,4,O061,Public Health,0.3,4,submitted
C0083,text,"Ward-11, Sambalpur ରେ ଟ୍ରାନ୍ସଫର୍ମାର ସମସ୍ୟା ଅଭିଯୋଗ ମିଳିଛି।",or,"transformer issue reported in Ward-11, Sambalpur for 2 hours.",electricity,transformer issue,Sambalpur,Ward-11,2026-03-03 01:45:00,medium,3,O052,Electrical,0.6,1,in_progress
C0084,video,सड़क संकेत गायब के कारण यातायात प्रभावित है।,hi,"road signage missing at junction in Ward-03, Cuttack.",transport,road signage missing,Cuttack,Ward-03,2026-01-06 22:19:00,medium,6,O031,Traffic & Transport,0.76,3,resolved
C0085,audio,"Please address garbage not collected in Ward-08, Bhubaneswar.",en,"Please address garbage not collected in Ward-08, Bhubaneswar.",sanitation,garbage not collected,Bhubaneswar,Ward-08,2026-03-17 06:53:00,low,3,O006,Sanitation,0.66,1,submitted
C0086,text,"People in Ward-19, Bhubaneswar are facing street light failure since 5 hours.",en,"People in Ward-19, Bhubaneswar are facing street light failure since 5 hours.",electricity,street light failure,Bhubaneswar,Ward-19,2026-02-14 14:57:00,high,2,O003,Electrical,0.4,2,submitted
C0087,audio,"Ward-18, Puri में स्ट्रीट लाइट खराब की शिकायत है।",hi,"street light failure reported in Ward-18, Puri for 3 days.",electricity,street light failure,Puri,Ward-18,2026-01-03 18:05:00,high,1,O036,Electrical,0.8,1,in_progress
C0088,text,"Ward-16, Sambalpur में कम पानी का दबाव की समस्या है।",hi,There is low pressure near Ward-16 in Sambalpur since 1 day.,water,low pressure,Sambalpur,Ward-16,2026-02-09 00:04:00,medium,4,O050,Water Supply,0.54,1,submitted
C0089,text,"stray dog issue creating danger in Ward-14, Cuttack.",en,"stray dog issue creating danger in Ward-14, Cuttack.",public_safety,stray dog issue,Cuttack,Ward-14,2026-01-21 23:29:00,medium,3,O027,Public Safety,0.55,0,submitted
C0090,text,"There is stagnant water near residential area in Ward-07, Sambalpur.",en,"There is stagnant water near residential area in Ward-07, Sambalpur.",health,stagnant water,Sambalpur,Ward-07,2026-02-12 20:32:00,medium,3,O061,Public Health,0.89,0,resolved
C0091,text,"broken divider on main road of Ward-07, Sambalpur.",en,"broken divider on main road of Ward-07, Sambalpur.",roads,broken divider,Sambalpur,Ward-07,2026-02-16 03:00:00,medium,6,O056,Roads & Works,0.3,2,in_progress
C0092,video,Ward-15 इलाके में पाइपलाइन लीकेज पिछले 3 दिन से है।,hi,There is pipeline leakage near Ward-15 in Puri since 3 days.,water,pipeline leakage,Puri,Ward-15,2026-02-03 07:32:00,high,1,O034,Water Supply,0.63,5,in_progress
C0093,text,"Please address unclean public toilet in Ward-01, Bhubaneswar.",en,"Please address unclean public toilet in Ward-01, Bhubaneswar.",sanitation,unclean public toilet,Bhubaneswar,Ward-01,2026-01-18 07:38:00,medium,2,O006,Sanitation,0.59,1,in_progress
C0094,audio,"Citizens reported bus stop damage in Ward-07, Sambalpur.",en,"Citizens reported bus stop damage in Ward-07, Sambalpur.",transport,bus stop damage,Sambalpur,Ward-07,2026-03-05 10:53:00,medium,6,O064,Traffic & Transport,0.46,5,in_progress
C0095,audio,"Transport complaint: road signage missing near bus stand in Ward-02, Puri.",en,"Transport complaint: road signage missing near bus stand in Ward-02, Puri.",transport,road signage missing,Puri,Ward-02,2026-03-04 05:55:00,high,2,O048,Traffic & Transport,0.22,1,in_progress
C0096,text,"Complaint about unclean public toilet near apartment block in Ward-20, Sambalpur.",en,"Complaint about unclean public toilet near apartment block in Ward-20, Sambalpur.",sanitation,unclean public toilet,Sambalpur,Ward-20,2026-01-02 22:28:00,medium,2,O053,Sanitation,0.32,3,in_progress
C0097,text,"Ward-07, Sambalpur में पानी की सप्लाई बंद की समस्या है।",hi,There is no water supply near Ward-07 in Sambalpur since 1 day.,water,no water supply,Sambalpur,Ward-07,2026-02-02 11:20:00,low,7,O050,Water Supply,0.91,2,in_progress
C0098,text,"Citizens reported bus stop damage in Ward-06, Puri.",en,"Citizens reported bus stop damage in Ward-06, Puri.",transport,bus stop damage,Puri,Ward-06,2026-03-01 05:45:00,high,2,O048,Traffic & Transport,0.57,2,submitted
C0099,video,"There is stagnant water near residential area in Ward-11, Sambalpur.",en,"There is stagnant water near residential area in Ward-11, Sambalpur.",health,stagnant water,Sambalpur,Ward-11,2026-02-08 01:41:00,high,2,O061,Public Health,0.57,2,resolved
C0100,video,"Complaint about overflowing bin near apartment block in Ward-02, Puri.",en,"Complaint about overflowing bin near apartment block in Ward-02, Puri.",sanitation,overflowing bin,Puri,Ward-02,2026-01-09 21:26:00,low,4,O037,Sanitation,0.57,1,submitted
C0101,audio,"Ward-21, Cuttack में धुएँ की परेशानी की शिकायत है।",hi,"smoke nuisance observed in Ward-21, Cuttack.",health,smoke nuisance,Cuttack,Ward-21,2026-01-06 09:58:00,low,5,O030,Public Health,0.65,0,resolved
C0102,text,"mosquito breeding observed in Ward-09, Cuttack.",en,"mosquito breeding observed in Ward-09, Cuttack.",health,mosquito breeding,Cuttack,Ward-09,2026-02-18 19:38:00,high,1,O030,Public Health,0.42,5,in_progress
C0103,text,"bus stop damage at junction in Ward-14, Cuttack.",en,"bus stop damage at junction in Ward-14, Cuttack.",transport,bus stop damage,Cuttack,Ward-14,2026-01-23 06:45:00,high,3,O032,Traffic & Transport,0.77,1,submitted
C0104,text,"illegal dumping observed in Ward-20, Sambalpur.",en,"illegal dumping observed in Ward-20, Sambalpur.",health,illegal dumping,Sambalpur,Ward-20,2026-02-11 01:20:00,medium,3,O061,Public Health,0.4,2,resolved
C0105,audio,Ward-10 इलाके में कम पानी का दबाव पिछले 5 घंटे से है।,hi,There is low pressure near Ward-10 in Puri since 5 hours.,water,low pressure,Puri,Ward-10,2026-01-27 12:10:00,high,2,O033,Water Supply,0.59,3,in_progress
C0106,text,"Public safety complaint: open electric box in Ward-18, Puri.",en,"Public safety complaint: open electric box in Ward-18, Puri.",public_safety,open electric box,Puri,Ward-18,2026-02-02 05:26:00,medium,4,O044,Public Safety,0.91,1,in_progress
C0107,text,"Transport complaint: road signage missing near bus stand in Ward-19, Bhubaneswar.",en,"Transport complaint: road signage missing near bus stand in Ward-19, Bhubaneswar.",transport,road signage missing,Bhubaneswar,Ward-19,2026-01-15 08:20:00,high,3,O015,Traffic & Transport,0.29,3,submitted
C0108,text,There is no water supply near Ward-16 in Sambalpur since 2 days.,en,There is no water supply near Ward-16 in Sambalpur since 2 days.,water,no water supply,Sambalpur,Ward-16,2026-01-27 15:46:00,medium,5,O049,Water Supply,0.4,1,in_progress
C0109,text,"There is mosquito breeding near residential area in Ward-08, Bhubaneswar.",en,"There is mosquito breeding near residential area in Ward-08, Bhubaneswar.",health,mosquito breeding,Bhubaneswar,Ward-08,2026-01-04 00:18:00,low,7,O013,Public Health,0.8,3,submitted
